feature,importance
HIGHEST_QUALIFICATION,0.09108446509944242
OCCUPATION_STATUS,0.0784049856183974
years_since_first_birth,0.07274879700964826
AGE_AT_FIRST_CONCEPTION,0.07118375556127356
DRINKING_WATER_SOURCE,0.060895340703769556
AGE,0.06014159896293589
live_birth_success_rate,0.054884041246177045
age_x_parity,0.054372862498779394
age_squared,0.054177395358106374
age_x_chronic_disease,0.050995083371529
MOTHER_AGE_WHEN_BABY_WAS_BORN,0.05090421793269664
TOILET_USED,0.04004108317733337
SYMPTOMS_PERTAINING_ILLNESS,0.03620502797924275
BORN_ALIVE_TOTAL,0.03592697310839438
NO_OF_TIMES_CONCEIVED,0.03555993217205579
SOCIAL_GROUP_CODE,0.02941614109001135
COOKING_FUEL,0.028983832087077485
DIAGNOSED_FOR,0.02580198397085317
RURAL,0.01851946999949207
is_literate,0.009605651043934573
substance_use_score,0.0076153093937290995
environmental_risk_score,0.006997695902103587
practices_open_defecation,0.006975524532848543
SMOKE,0.005642456674449442
CHEW,0.005282213770314832
ALCOHOL,0.004406212974768141
DISABILITY_STATUS,0.0015075460434875573
has_any_disability,0.0011417933983287522
chronic_disease_count,0.0005786093188196701
works_outside_home,0.0
uses_clean_fuel,0.0
safe_drinking_water,0.0
